"analysis_id","tfl_id","analysis_group_id","analysis_group_label","estimand","treatment","contrast","visit","estimate","standard_error","degrees_of_freedom","lower_confidence_limit","upper_confidence_limit","statistic","p_value","covariance_used"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","visit_lsmean","","","2013",2.71361569874232,3.02036016469749,19.9722095701666,-3.58730725688333,9.01453865436797,0.898441096680967,0.379654556212867,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","visit_lsmean","","","2017",7.8062553045337,2.90018891565883,15.989159675379,1.65779066677331,13.9547199422941,2.69163683178906,0.0160513841455638,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","visit_lsmean","","","2021",6.46542449953287,2.44320466263903,17.500200008675,1.32191382767505,11.6089351713907,2.64628853996588,0.0166852148288579,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SOCIAL","受试者报告社交功能","visit_lsmean","","","2025",10.4549709057462,2.53132349098855,19.8241339522891,5.17171806123965,15.7382237502528,4.13023896114648,0.000527068311380059,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","visit_lsmean","","","2005",-3.88211353323311,2.02040512388479,40.0980715111361,-7.96519352791267,0.200966461446461,-1.92145302312868,0.0618026027911608,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","visit_lsmean","","","2009",-1.30741312028748,2.78150937360771,39.0455034314657,-6.93333724742744,4.31851100685247,-0.470037287198398,0.640943204415995,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","visit_lsmean","","","2013",-3.21632818105687,3.0138122619187,39.185856932015,-9.311414581901,2.87875821978727,-1.06719593044898,0.292414329941058,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","visit_lsmean","","","2017",-2.13278175768391,2.86314971264268,38.5343494966024,-7.92628702577195,3.66072351040413,-0.744907522043392,0.460846905161627,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","visit_lsmean","","","2021",-0.188835308709802,2.48500483948585,40.6308531427163,-5.20878946622474,4.83111884880513,-0.0759899158783418,0.939800064128528,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SOCIAL","家长报告社交功能","visit_lsmean","","","2025",2.14415311657929,2.45261408736068,39.6597912166218,-2.81408975283717,7.10239598599575,0.874231754448847,0.387255406649501,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","visit_lsmean","","","2005",-8.04510075314856,3.77923212749788,21.9063734000945,-15.8846911060143,-0.205510400282863,-2.12876597195817,0.0447639715816594,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","visit_lsmean","","","2009",-7.39850003680091,3.92044986364044,21.9858257589817,-15.5293193459718,0.732319272370022,-1.88715588622037,0.0724130239252666,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","visit_lsmean","","","2013",-5.05172048235045,4.91181005196008,21.6396992265478,-15.2480336062686,5.14459264156773,-1.02848449531035,0.315081466250875,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","visit_lsmean","","","2017",-1.57971541911013,4.48546316693649,19.7671778967562,-10.9432974740569,7.78386663583668,-0.352185573778562,0.728426060990222,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","visit_lsmean","","","2021",1.11797382803993,3.894447661904,21.3152919807755,-6.9736851560717,9.20963281215155,0.28706864877813,0.776831875953321,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_SUBJECT_SCHOOL","受试者报告学校表现","visit_lsmean","","","2025",0.783132556100574,4.7434894707857,17.9113822264185,-9.18610442412589,10.752369536327,0.165096299027066,0.870717213794934,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","visit_lsmean","","","2005",-5.93077877782714,2.96526302873455,38.6444791565612,-11.9303540883942,0.0687965327398823,-2.00008522696151,0.0525544600594061,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","visit_lsmean","","","2009",-5.18376526953582,2.27443232859204,36.0905981269801,-9.7961257995425,-0.571404739529134,-2.27914684660887,0.028674097960942,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","visit_lsmean","","","2013",-5.02856349453999,2.72004318610287,35.4505751102805,-10.5480369462856,0.490909957205633,-1.84870722649983,0.0728543498396042,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","visit_lsmean","","","2017",-7.13131987055989,3.47708698792856,34.0930707567795,-14.1969003391322,-0.0657394019875737,-2.05094663875761,0.0480206559053385,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","visit_lsmean","","","2021",-2.21170291270489,2.43282134146716,35.044378811436,-7.1503692385373,2.72696341312753,-0.909110288949982,0.369502115538728,"UN"
"MMRM-01","T14-2-10-1-2","PEDSQL_PARENT_SCHOOL","家长报告学校表现","visit_lsmean","","","2025",-1.93862832888787,3.25251451134924,34.2187872912813,-8.54697674692588,4.66972008915014,-0.596039870728714,0.55507112465694,"UN"
